,date,country_1,country_2,country_3,country_4,countries,organization,claim,source,source_url,fact_check_url,fact_check_lang,final_rating,explanation,category,countries_list,source_domain,resolved_url,resolved_domain,datetime,claim_p
433,2/6/2020,North Macedonia,,,,North Macedonia,Vistinomer,A Bulgarian doctor claims that alcohol helps cure or prevent the new coronavirus.,Vecher,https://vecer.mk/node/475590,https://vistinomer.mk/ne-korona-virusot-ne-se-lechi-so-alkohol/,Macedonian,false,The WHO says an alcohol-based hand sanitizer is recommended. It is a well known fact that there is no cure for the virus.,cures,['North Macedonia'],vecer.mk,https://vecer.mk/node/475590,vecer.mk,2020-02-06,"['bulgarian', 'doctor', 'claims', 'alcohol', 'helps', 'cure', 'prevent', 'new', 'coronavirus']"
625,2/18/2020,Taiwan,,,,Taiwan,Taiwan FactCheck Center,Dr. Chao Chien Kuo from Wuhan Central Hospital said drinking alcohol can prevent COVID-19.,Line,Unavaliable,https://tfc-taiwan.org.tw/articles/2596,Chinese (traditional),false,"Dr. Chao Chien Kuo's comment was a joke in his private chat group, not an official recommendation. There is no evidence that drinking alcohol can prevent or treat COVID-19.",cures,['Taiwan'],N/A,Unavaliable,N/A,2020-02-18,"['chao', 'chien', 'kuo', 'wuhan', 'central', 'hospital', 'said', 'drinking', 'alcohol', 'prevent', 'covid']"
627,2/18/2020,India,,,,India,BOOM FactCheck,Drinking alcohol kills the coronavirus.,Newspaper Dopeher ka saamna,http://hindisaamana.4cplus.net/imageview_16097_105715223_4_71.html,https://www.boomlive.in/health/does-drinking-alcohol-prevent-coronavirus-6935,English,false,Drinking alcohol does not cure coronavirus. Alcohol in sanitizers does have an effect on the virus.,cures,['India'],4cplus.net,http://hindisaamana.4cplus.net/imageview_16097_105715223_4_71.html,4cplus.net,2020-02-18,"['drinking', 'alcohol', 'kills', 'coronavirus']"
843,2/28/2020,Kenya,,,,Kenya,PesaCheck,Consuming alcohol is an effective measure against COVID-19.,Facebook,http://archive.ph/Feqt1,https://pesacheck.org/false-consuming-alcohol-is-not-a-recommended-measure-against-covid-19-66f69df787d,English,false,The post making this claim contains a doctored screenshot from a CNN broadcast.,cures,['Kenya'],archive.ph,https://www.facebook.com/ReverseWineSnob/photos/a.206200816080840/3141638459203713/?type=3&theater,facebook.com,2020-02-28,"['consuming', 'alcohol', 'effective', 'measure', 'covid']"
916,3/2/2020,India,,,,India,Vishvas News,Alcohol kills the coronavirus.,Facebook,https://archive.md/ICF1E,https://www.vishvasnews.com/english/health/fact-check-post-claiming-alcohol-kills-coronavirus-is-fake/,English,false,The claim is fake.,cures,['India'],archive.md,https://www.facebook.com/steve.lock.712/posts/10158261653059744,facebook.com,2020-03-02,"['alcohol', 'kills', 'coronavirus']"
942,3/3/2020,Brazil,,,,Brazil,Agência Lupa,Vinegar is more effective than alcohol-based hand sanitizers for killing the novel coronavirus.,"WhatsApp, Facebook",https://www.facebook.com/osvaldoluizbarbosa.barbosa/videos/2656568204571774/,https://piaui.folha.uol.com.br/lupa/2020/03/03/verificamos-vinagre-coronavirus/,Portuguese,false,Vinegar is not effective as a hand sanitizer. Its effects on breaking up the fat protection around viruses are very limited. Alcohol and soap are very effective as protection.,cures,['Brazil'],facebook.com,https://www.facebook.com/osvaldoluizbarbosa.barbosa/videos/2656568204571774/,facebook.com,2020-03-03,"['vinegar', 'effective', 'alcohol', 'based', 'hand', 'sanitizers', 'killing', 'novel', 'coronavirus']"
1043,3/6/2020,India,,,,India,Factly,Aaj Tak channel aired a program that said drinking alcohol or smoking weed can cure COVID-19.,Many social media platforms,https://www.facebook.com/avnish.rawat/posts/2978668782183800,https://factly.in/aaj-tak-did-not-telecast-the-news-which-said-drinking-alcohol-or-weed-can-cure-covid-19/,English,false,Aaj Tak channel did not telecast such a program. The photos were taken from a fact-check episode debunking the claim and conclude that neither alcohol nor weed can cure COVID-19.,cures,['India'],facebook.com,https://www.facebook.com/avnish.rawat/posts/2978668782183800,facebook.com,2020-03-06,"['aaj', 'tak', 'channel', 'aired', 'program', 'said', 'drinking', 'alcohol', 'smoking', 'weed', 'cure', 'covid']"
1054,3/6/2020,Brazil,,,,Brazil,Agência Lupa,Alcohol-based hand sanitizer can influence results in a breathalyzer test.,"Cesar Urnhani, journalist and YouTuber",https://www.facebook.com/doutorcarro/videos/548849695757088/,https://piaui.folha.uol.com.br/lupa/2020/03/06/verificamos-alcool-gel-teste-bafometro/,Portuguese,false,Spreading alcohol-based hand sanitizer does not affect the breathalyzer test.,symptoms,['Brazil'],facebook.com,https://www.facebook.com/doutorcarro/videos/548849695757088/,facebook.com,2020-03-06,"['alcohol', 'based', 'hand', 'sanitizer', 'influence', 'results', 'breathalyzer', 'test']"
1069,3/7/2020,United States,,,,United States,AFP,"A Facebook post shared 25,000 times features an image of a letter purportedly from a U.S. hospital recommending people drink alcohol to help reduce the risks of novel coronavirus infection.",Facebook,Unavaliable,https://factcheck.afp.com/fake-us-hospital-letter-says-alcohol-reduces-covid-19-risks,English,false,"Saint Luke’s Hospital in Kansas City did not issue the letter, according to its staff.",cures,['United States'],N/A,Unavaliable,N/A,2020-03-07,"['facebook', 'post', 'shared', '000', 'times', 'features', 'image', 'letter', 'purportedly', 'hospital', 'recommending', 'people', 'drink', 'alcohol', 'help', 'reduce', 'risks', 'novel', 'coronavirus', 'infection']"
1317,3/12/2020,India,,,,India,India Today,Saint Luke’s Hospital of the USA says consuming alcohol can reduce the risk of COVID-19.,Facebook,http://archive.today/xan9F,https://www.indiatoday.in/fact-check/story/coronavirus-fact-check-claims-on-alcohol-and-covid-19-1654812-2020-03-12,English,mostly false,Saint Luke's Hospital has not issued this advisory.,cures,['India'],archive.today,https://www.facebook.com/AfterDrinkingConfessions/posts/1891781660953672,facebook.com,2020-03-12,"['saint', 'luke', 'hospital', 'usa', 'says', 'consuming', 'alcohol', 'reduce', 'risk', 'covid']"
6360,3/12/2020,Ukraine,,,,Ukraine,VoxCheck,Drinking alcohol and smoking helps preventing the new coronavirus from infecting the organism.,Facebook,https://www.facebook.com/stadnyk.oleksander/posts/3560760127331263,https://voxukraine.org/uk/fejk-alkogol-ta-kurinnya-dopomagayut-vid-novogo-koronavirusu/,Ukrainian,false,Drinking alcohol and smoking weaken the immune system and increase the risk of complications from COVID-19.,cures,['Ukraine'],facebook.com,https://www.facebook.com/stadnyk.oleksander/posts/3560760127331263,facebook.com,2020-03-12,"['drinking', 'alcohol', 'smoking', 'helps', 'preventing', 'new', 'coronavirus', 'infecting', 'organism']"
1357,3/13/2020,Canada,,,,Canada,Décrypteurs - Radio-Canada,"Drinking cold water, hot drinks or alcohol protects against coronavirus.",Facebook,https://www.facebook.com/ljaoui/posts/10157872160533405,https://ici.radio-canada.ca/nouvelle/1664623/mythes-eau-boissons-chaudes-alcool-coronavirus-faux,French,false,These claims hold no medical value.,cures,['Canada'],facebook.com,https://www.facebook.com/ljaoui/posts/10157872160533405,facebook.com,2020-03-13,"['drinking', 'cold', 'water', 'hot', 'drinks', 'alcohol', 'protects', 'coronavirus']"
1527,3/16/2020,Indonesia,,,,Indonesia,TEMPO,Drinking alcohol can kill the coronavirus,Facebook,https://s.id/fhs6d,https://cekfakta.tempo.co/fakta/672/fakta-atau-hoaks-benarkah-minum-alkohol-bisa-membunuh-virus-corona-covid-19,Bahasa Indonesia,false,"According to the WHO, when the virus has entered a person's body, spraying alcohol or even drinking it will not kill the virus.",cures,['Indonesia'],s.id,https://cdn.tmpo.co/data/2020/03/16/id_923586/923586_720.jpg,tmpo.co,2020-03-16,"['drinking', 'alcohol', 'kill', 'coronavirus']"
1666,3/17/2020,Ireland,,,,Ireland,TheJournal.ie,Police asked shops selling alcohol to restrict opening hours on St. Patrick's Day to lower the risk of house parties where coronavirus could be spread.,Anonymous Twitter user,https://img2.thejournal.ie/inline/5050905/original/?width=486&version=5050905,https://jrnl.ie/5049770,English,misleading,"Police make an annual request of shops not to sell alcohol before 4 p.m.on St Patrick's Day, but it has nothing to do with coronavirus.",authorities,['Ireland'],thejournal.ie,https://img2.thejournal.ie/inline/5050905/original/?width=486&version=5050905,thejournal.ie,2020-03-17,"['police', 'asked', 'shops', 'selling', 'alcohol', 'restrict', 'opening', 'hours', 'patrick', 'day', 'lower', 'risk', 'house', 'parties', 'coronavirus', 'spread']"
1620,3/17/2020,Mexico,,,,Mexico,Animal Político,A mixture of vinegar and fabric softener is a better disinfectant than alcohol.,Text,https://www.facebook.com/permalink.php?story_fbid=104307894532589&id=100778538218858,https://animal.mx/2020/03/falso-suavitel-vinagre-prevencion-coronavirus/,Spanish,false,"Even when vinegar and quaternary ammonium included in some fabric softeners do have some antibacterial properties, its mixture is not more effective than alcohol in inactivating viruses and killing bacteria. This mixture is not included in the official recommendations to fight COVID-19.",cures,['Mexico'],facebook.com,https://www.facebook.com/permalink.php?story_fbid=104307894532589&id=100778538218858,facebook.com,2020-03-17,"['mixture', 'vinegar', 'fabric', 'softener', 'better', 'disinfectant', 'alcohol']"
1756,3/18/2020,Thailand,,,,Thailand,AFP,"A video of a fire erupting inside a vehicle has been viewed hundreds of times on Facebook, Twitter and on messaging app Line in March 2020 alongside a claim it shows an explosion that was sparked by an alcohol-based disinfectant used during the novel coronavirus pandemic.","Facebook, Twitter, Line",Unavaliable,https://factcheck.afp.com/video-has-circulated-2015-reports-about-aerosol-explosion-saudi-arabia?fbclid=IwAR2SB4SInreDNZYi0oGBpq3MtLEtHuxeB2uCns-ws3UPbU0l3HDzO90HJFw,English,false,"The claim is false; the video has circulated in media reports about a car explosion in Saudi Arabia since at least 2015, almost five years before the novel coronavirus, COVID-19, was first detected in the Chinese city of Wuhan in December 2019.",other,['Thailand'],N/A,Unavaliable,N/A,2020-03-18,"['video', 'erupting', 'inside', 'vehicle', 'viewed', 'hundreds', 'times', 'facebook', 'twitter', 'messaging', 'app', 'line', 'march', '2020', 'alongside', 'claim', 'shows', 'explosion', 'sparked', 'alcohol', 'based', 'disinfectant', 'novel', 'coronavirus', 'pandemic']"
